2018-04-30 00:12:40	b1bc610795a33252ca307ae3e5e34258:gFqyOGdOER18ULQwFvYF6Q6mZrzhVUb1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 15:52:18	6830dec5e00f72fa4c73d8f3794ce289:TleI6g0Ui7kUffKlgTkL5kiWHB9rxf9b	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 15:52:36	e7846a7f1bbfa292c4e3b6dd6fa39564:jo9SzAFxG0owUN022YFs6VePeW1UcHzL	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 15:52:36	287041e184560c24df3a4db1a14ae9dc:u3ZfldbG3TlQw0WLRcaFBWNsjAHsZh4C	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:52:37	1c3c7627d5c44cda32748f6536e95410:Dhig5biugQ4XA2zet8m5uhbW938Prjd2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.139.188.74
2018-04-30 15:52:38	a0bc47124070d03a800204176d4d425f:ovaQhE2uLS2fGrL4VUp64ofmatfvGypX	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 15:52:48	1bb9e0f11ba6d2142362d8b1fa934981:V04ls6fF8W8c42goWY6t0H558ThXjURN	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-30 15:52:58	0fd704168d451f8b66ad2da8f7329b2d:h9CPBNT065irmC3fhUWJQnwoHbuFhvSK	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 15:53:02	89e598d3189d43e135e0503ac6a9afda:0izRMI1PPJU3cyo4oogIfMhWSVZSULAM	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:53:17	3917882a360eb0476d39b82c2377b868:P4iyjNWGzHPwiODJG0wzbd5sNJYJsH7w	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	172.29.147.132
2018-04-30 15:53:33	b70cf53a69dbe93ba7e6d9ea746b792e:7zfB7kn78KJpGjdmmqN05oEM91lWuZF4	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	36.227.122.35
2018-04-30 15:53:39	746bb653867932c4d2cf525607cb3491:7bCcoFYyeTPAAZXbgY12pnpUpsieIekj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 15:53:48	9b04fe07d2a47d47ca9190d09aa59efb:SGVY1BibqjwePX8CnHkv97UEyiow3ZLG	Q1:閃亮文山．越夜越美麗	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	58.114.214.141
2018-04-30 15:53:52	0386005c0a80d3edca8e067ab0e08614:K3vszpySNTTxkdOiNx3jmY4dYqZYFfxe	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 15:54:01	b9c94bbcaf4756db880e3f9c183e7f3e:4IYyQ89nXuk1jpCXE2hm8S5aGkMJNtll	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 15:54:01	af1e715ae9a64e730e1973d228aa5f42:F10gR3tTUyQKczQWg8pGfzsafrBiekZk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:54:28	2bf7b4fa6cb577152bccb23c5bcd06aa:ODVjpmByzlzDY5KQFL89C1iiiaUsDYtu	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:54:36	3809ad782ee1a49944fb07d62e706956:PI3qjErDK5wW1NSM1ntVIZZbSwhOofg2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 15:54:47	4be5e442b72c0c676098b126814fc44c:vPxCvrPWns7iTeobmpX64Xfh41w9cqB5	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 15:54:58	25528f609270cc0ee3f59460fa92129b:KKJTmS7gIdV9ArbCSCtJf5zWSUQlJ42p	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.139.188.74
2018-04-30 15:55:00	0aafb29baa21c63a57ab3076cd1126f0:E2PLGK7tpF0RrDG7KGAEFHp9l1j00UZp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 15:55:11	47de6e3a79fc6fae3e7fb9055a4f0fc8:YLpY6UccnnxnnTE0XYjBjvLMnPFMeDzl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:55:21	a425baaa5c97f6dfe1c126596f952caa:5kCerGYWIkX5qCMmBYBIwzqqwgRBzidF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	180.217.162.184
2018-04-30 15:55:35	8fa8ed48a4bc0fea6fd6935c0cdff00e:0NAZmAmhtUEGIlYrULjoZvdMDRGC5yGg	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-30 15:55:46	380a39128c3901b9992476868961397c:VLJFgpInHFt65JdgktxFeevvmqqVUFwf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:55:54	301d9e1148bae7144777e2739f6fd0c0:pN8oCRWaNeM2IpuDo6bqomjj4PrBwEU1	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 15:55:57	8f702c19cd5081e42f091fecff2e25d6:Tl8gylk1M2fP1xkqfckdnu4SsSI00sDB	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	58.114.214.141
2018-04-30 15:56:15	3e1f8b9cbed63b87fc55a8befa5dc8d6:FNJocO2WzcPzo2XEy3ZjOoObnL3KTBoz	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 15:56:14	0ae18b171b186160770e4dd021ed693e:g04Pi57aWVP7knUBIWj1uEzIxTDoDZla	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:56:43	cf797a1ae62566583c3ce1e4ce411c45:pGgJzbPqset3h1ar3hc3eMPVzR804pSZ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:56:44	c0988667073738e6d12aa5dd4ed8a0a2:cHo2eg1bm24xUZMt1VQXlSTeQuugQHih	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 15:57:04	901dae93ba8cfd89a252f030064bbe6a:yVARDVsAVjzHcZhb3Xo1fznOotM7jqGd	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:57:16	e2e536db99f465e07d57e7bb39d95005:wohqv9dDDAGGfXowEFvwVhTlUmKN06j7	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-30 15:57:21	4f5443d924b20489edf6d2544c5e7278:XoLTJNMeLIX8dDdYhPF9LSr0Ha7I6h3S	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 15:57:24	bbc69f68f5f4a8f816ba234b8969c9fa:HjXEeriOWsVvCEKhD9pnyhEXg9ISwiJM	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 15:57:28	f059adfcd64fe9eb2ca992d15f2f904e:uvdguoIp85eWRLrtpLXkoovSUKbw9FGV	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 15:57:47	27759bb8faa9a8d8f98d410e654e2176:ZzcnbDrT1Ca0GVFr3RcowMbmDA1wLL6V	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:57:52	9bd32df5ed25715ac2642b136e72f515:fxzYEVsBZ47b1rFBTeAvOXnvxl2GfWqZ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 15:58:06	ed2e83cb42a3e1b3ffdb3af7d39890c4:gviEUGMOY2Qqn1KvPRaBNzR6bT47Ap3W	Q1:綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	58.114.214.141
2018-04-30 15:58:12	35ac9c8c692ddcd837b3606462f8af62:68tqjWFcx6L9tCotMNLvOalAT4YofLyS	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 15:58:15	97ad9bc397464af755a2c92dc039637d:tUciYlaUoed5VbMEdxwZZ7anE6QcZOyi	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 15:58:21	45d2277e4ff6c0b3455e3e3d72707625:EsT02atIIYVgjTsNuuup3d32D1wHSM7x	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:58:34	b261f0b8866788e5c4a777ea7f685577:kDEZcqTLptzLBOBts5VRu5UbahugNBRv	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 15:58:54	f717fe1006269bce4068c77c3838f4ee:ZLR6oODoJtGguNaPnGh2Q3A7o5mmmCGp	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-30 15:58:56	e3632e92e242f27852f26a1f91cbc5ad:86EtYAW8HvgHbannec7HqBJ2r84fwyia	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 15:58:59	128c110f2263d359fd177afd5fbba134:0anDh9fD955qPhiAe1TiOHIIpp62htdd	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 15:59:02	9ed269ef50866bd117e02e4f51df615a:RNPpkSRO5WiQi1ulWzaMOVIVf4bsqV6p	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 15:59:29	27358ea00e5a442d6b15608333f898fe:2Fhxl8TGgX7WumltadYOU5B6810KCpss	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 15:59:29	75725e9d460972dbe154f8c5584b4a28:jhTsnXCUoUS4cAFgWBhLfIJqCOerI4kz	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 15:59:35	eced4e7aa958e04c967c0774cd550902:clXbiWTEf9g16fl7vmmTud0AztTik7bM	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.218
2018-04-30 15:59:35	3df57a272a6720ac51ee37e0b53fcb85:ymylFtx2ZcIVDgZlUxHcGDFoFrKPXxZS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.139.188.74
2018-04-30 16:00:06	a5185d094d5269f022877d1dd302fe5d:2uoU5tIE5SM7DB06s0JxzsgOTgAlqPg3	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 16:00:16	c52bd936d4084af5503c38d323a8194c:grwzVjlDnXXRJIoTWCCnyXO8NjubewRc	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 16:00:18	21307dc1006cce766270c1e931c4e03b:UuNZhrEUIqhw6Iq9ZUjjTgg8Ksglwk29	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 16:00:21	a51adc1e743830bbc3578645bb1358c0:jMAt0N8tKK91h2I3X3uHYTSIRtJy7on1	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 16:00:21	6d26d42e7ed8721587e26cd584a9650a:SuCLZ7O2sVPWujiCwZMyEehNZ7X8jOYu	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-30 16:00:27	190d14d64732b55eb40d32a82921150a:N9e4lTUEWOlbIpgMo4yybaZXcn9DKFVU	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:00:32	b275ac5c247c0dc9c62fcb2c6dfe9df9:N9fryPQJdZp9nSxl1Y4PAvNBfstPLPOA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	58.114.214.141
2018-04-30 16:01:03	d3fc5aa6eca98ab524ac8227900eb371:iOj73C28H8Kls41HqgGjea5IrqLuJSgq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 16:01:08	22d619433d6ecaf1a2d60a9c43d27dd9:sbdl0S9ZMt8hpXVEk6Umj5Z57a4xuS5n	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:01:21	e08ccc5cbaf0af54ed7b11b08936e41c:2lwNENacVT7XcUPr16IVPQ50U4erD0p3	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 16:01:50	e155246bbf9c841215dd86949e83159b:xYWzpJ6EnVbYN2XhgZvcNHXgtDCpYfgg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:01:51	84314cc57a054545041852c16a99d56f:CyjAiopirXVdLKIfmggvBa4IV54OMPAH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.139.188.74
2018-04-30 16:01:53	8b7be3ee5f99384c6520593d58f2df39:K3GF1XGI78k1bS3loDvRAb4l2bh8tkLA	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.233.155.135
2018-04-30 16:02:17	366b1608bcf9abbdaeb06efcca69cb3b:bU9SCFXd9N0JUP5tG7gckOxjYCEa7dic	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:02:26	3e20e17614bf7a2e5d25f5e49222b707:Hi41BlsgCtEKRimPhjQ3Jg8jktLAzFD5	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 16:02:33	298b05e44441a00d472746ca1af89578:TnzrJF9Vj7Q7ycQzgPyagw892KhAQzv7	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.137.7.31
2018-04-30 16:02:51	6131a38fa7cf8983cfbd49077bcf3266:oknKAFvLETK8lWMj0aBYRcxgYJedbO7A	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:02:55	edd0e05f1b228e868f1070c990c04f3c:8gAtQTdnyglslLkU4m9E1QnnmVmQUt28	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 16:03:26	576bacce1cc823593912afabc8200f06:gTtrh1Hk7Ko1h9q3kNXUmqCKg11ELszJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:03:33	83e6f4d55e16592564a6953d93d7787a:Q6jf2T865iJ0lWX0QOPY4lwfdaXlJV2T	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	1.160.20.228
2018-04-30 16:03:39	58634828de7697eaeda127c71bd9989e:CL6KsehAkkucoxAjoClJaBYEGIKMOb3T	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 16:03:40	97d03b3e4b503a60bd15744968663620:smrN21444eNHhe5hDAxBp3l36sBz2BwV	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 16:03:48	d110145bce874ad0b68a51b07288cf76:Udn0IXUK0zsJNTM5bVM7aDKLrEk3kMTV	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	101.139.188.74
2018-04-30 16:03:52	a9e9b80c2c8cf53bb9416160e101b190:a7DNTqzQf8T1W4VRf34puodXhFD67pN5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:04:17	894ee890c270954c03db8bb43d7495d2:9trj1VCHnqMUxSAoltQgT0CUTHNkwahH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:04:18	200892daee2a3253a74310cd86251c71:TSLk51PBtipkyznw8OyZSs7fdWdEgHw6	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 16:04:23	23363070cbafb11619d925c5f70c4522:BxN1ebjxrokoApL8IZfOPas7XbNR8WZ1	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 16:04:40	03bd9e6774ad188ea1ef65ac2233306a:LsQIrW3H5H64KhEmLqGl6qUHZQ6IdCVl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:04:52	46c6fbf53d9cd987039074b191018055:Ryp223Upa53jSQ2kKuHhAUUDHuZFM24w	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.17
2018-04-30 16:04:55	8d722690037b3f54ebb9450c110795a9:QCEPzKBItSG2i9M5yjOZGiqZ1HuCJ2y3	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	223.137.7.31
2018-04-30 16:05:00	4f6b909438b13246892f0e6408f61c20:qmiLN2aOLuto8WtNA1InU48LGBX83IOU	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 16:05:03	f73db68149e2d171c28870388e24417e:Y6biqlX5hV1PhGgmnSb9vKj4l6ZBN4TO	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 16:05:12	e6f7ddf99732e0cc34136da95271747a:2cZED7k8muhWgnW1AEH1G6ZnH7CCIBZl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:05:30	6f28ddc9208cc9f6d7014f4ed42b91a3:8OBqZ4mvaakjdTj9aRYGwDEwqkQQ9JRZ	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	101.139.188.74
2018-04-30 16:05:41	43ae33c049f3010706f9e2019fd1c818:tHM0MtYt0b6nnvDkJxrllKmzetBh7Ttj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:06:02	55a84544cfb5982a39a3cab96d1d2379:y4M9JRIiIb9gAAZYmjkeiQlr5Sh7PH7e	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 16:06:03	e41436c38e410aaeff387315498de439:uIFVrcKMzdsIsNp5ZWhkXumo8Z7p4bbq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
