2018-04-24 01:09:51	5c02862c07b2f7f2ac37f9c03e02f9be:Xh01r8Hndx4A6rIAx3iRkM4RuBSyTXyc	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	115.82.194.99
2018-04-24 18:23:13	19799f2ef25c88a930778748d4845dae:DMtIfJhehUztMfdjuZQ9z5DHGFJdHwzt	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	210.61.141.169
2018-04-24 18:29:51	ff8d2b868feb6df1686697171f364d6c:5aQfkKtLzby6PYWUpqYlL8jsP8ryh6gA	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	115.82.152.125
2018-04-24 18:33:36	da76ce9ea03521698ce44649426005ab:s93XWirCngmNRF3fct4zQgkBKACo8p1P	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	140.114.233.170
2018-04-24 18:35:03	b564b5ff1f8800bbb5ccbcfb051ef8b0:WiO0RjbETLWTurglg9FQ7HSlq2IuIb0V	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	175.181.189.101
2018-04-24 18:40:28	51616f503b482ce1ee4d2cc7c7ec7074:v0wNgvjw4zCG45MaRXJ1hTbHtCEAL05Z	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	94.197.120.213
2018-04-24 18:40:37	f87a7e494c829438df4fff2e363d9885:CXnS8tK0lJddoAnCRIv5ee1117Hbdcpf	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	111.240.169.109
2018-04-24 18:41:26	6a20694ccda96a5b014050c07c1cead8:ix4O1UAaeamLw5QDAOqMGWH65nfqhTVJ	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	113.196.154.3
2018-04-24 18:42:02	2a03c56194e315e64b8e62d0ebe4cc4d:pTRS8XiNeu8hrrVkGHZK4gZG7UKHwXyk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	36.228.27.174
2018-04-24 18:52:31	058089f246cd64525aa49396d6d7fe58:OpmIkluI7iDGBS986PnOHbJjAO7baDoQ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 18:54:00	ec69ba1d9a753a4defec85367b30b21d:182UCFXGyhwrSZNv4dkAS7folBj8PUCW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 18:55:09	3e7d1109d3f448edb926b2d42876ea16:zhisvbVYBUlQQidVUcUM1mHG3eqHNzot	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 18:55:15	9b4d3fca8901ca64588c629c52d5c6b0:Dp7yLMr0bfjM9oUWMuGtWZFccHD7TivA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	111.71.36.97
2018-04-24 18:55:47	3fa9757f9465e45d9a7f5a753d75d74f:5jgCtMwFruHXvUN6TZeuY3rtB1zc9YRY	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	36.226.173.222
2018-04-24 18:56:45	cb1a031ba501fdc365fedffb28c0fe8f:4L3unPmxqtzxvrVF3fDKMA2NwPxTgDEk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 18:57:34	893e0b23441558e7b1f8cc066cb1e986:IpZmuFEweRYaAyHoOatxnvyBiaFs7skx	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	118.168.67.93
2018-04-24 18:58:10	343ee48cff78563fcd7b7aa4f64b9f3b:hHEn7LG7msDIEXI8kg59Nk5ZvG6iEHfq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 18:58:35	36b8224e50881afd0f4d995669f82e0c:qNr9BLtofP25M9aUip1jAX5kpQE1Q0ME	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.136.94.80
2018-04-24 19:00:12	e9e68fc49f44bbbcef02b6ad36b086c2:fG1d8OwArJU0kbjpvBz1ld4jUBs4ziqf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:00:23	dd0f772231ea689b9fd8fad12158376f:AmUZoS30QqJswJGaJzPRxoloLGUmYORe	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:02:21	c1efc4f1cda9844b4e11d318ba20cc33:CooJei5j3inFLHtQRtExKeIGQ0NhCwHl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:03:16	098dc4dc8f07a41617624832efd16944:gLrc5IOPRCF1IhVYD9a4TjJ9UtSfMn27	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:03:46	a3d08d53abb51edf4da05c0970ee1eee:eKF9sJlvj7sB2f5C9ysc1rUqYUVXq5Gn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:04:33	9dcfccb1a62b6508de722a42f748cc79:6WxTqJqAcHTehieInSiE0VvmoHp0KZXy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:04:40	3cae9bbf60f3b3e6b24b07629fa0511d:al4FxJAeigyE5HzxelEpjwnDEf13l93J	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:06:22	da9cafcf668b1f412e6ac89e57cd77df:elUnGnx4akheqSqtuDeSUS3qHOQmD19F	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:07:24	9263e4d2e25ba28b703733898a85d9c7:kbrZpvgLpUBctuSRttkK6I6eVKVd1nWV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:08:24	5b820fe8c22876cb3c3ef9fa86608980:fPS1m5UORKBag8d5oAv3CW1RRFkQc9UB	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:09:09	a9695928036095d598afb2faeea6fa49:XR0RbJtyYaaoqlZAJBkvcR452k28dHiJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:09:27	cbdb3a87958b3f47825747fa8ee9b5f0:CEGVJSAPss2Xvs5Us7I8RU77YXTKsZQc	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:09:53	e19ff9c4d74e93f09b221403d96195cd:KLVYt4cNJD1kQftotOcbk2QTKblUD9T2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	27.247.12.34
2018-04-24 19:10:31	972f6020ab7ef4060563cbfa63a0f33b:M8i0yNwYBUBcIN6RLXEh3KVdY7rfwhYm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:11:28	8e60a5da7f549bcacc1236861718927b:mUuZAiIZFX7ySKsXz8RQrtbfYwkZc33n	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	114.136.232.225
2018-04-24 19:12:33	87dc29cded1bf41ef9f49af4a42ee0a6:Be3OArCVGr0dfklBcEcETDNwyX0Tdq4K	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:13:30	3980fb008553ed14070dec872c818790:m0UQghhW8gqrN8dLiUZWcUdpBhlmhHVU	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	219.70.120.49
2018-04-24 19:17:28	47e2c069db9f0efad96560c2ec4d7dc9:TPiRrEjmualGtu3dy4bYWjYXmJp8Rr5b	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.177.126.57
2018-04-24 19:17:50	610449ccbaf6dabfedc3f722e5e02b14:lXwvHZCaYlp8VlnpjJddoQWxOPNO8yRW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	61.222.213.181
2018-04-24 19:19:16	db3440b240eb23b665c817cb5ec04686:MHaPs9J5fqxGG6AbCpxAUMRAQkqtyaHC	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	210.80.64.254
2018-04-24 19:19:26	13477a2733dd722b3c327de3d9b46823:rOKgmhPBBpLbvQuuG3s9tvFiwWoJqdsg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:20:44	050299ea14c44f6861d00e3af3c6039c:d89X5yduKWuPCctpuhAFuzJfFNRoLHDY	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:22:54	579c46eb21a96198fe941dee12616d18:sT1v5snj2oczot90roqYDaE8wbKpFjCC	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:23:29	8fca2948a6be417d908c6aca5926f73f:2IJhaXakpQCGg0Y0oDePVd8K8CMoTmzq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	140.119.155.197
2018-04-24 19:24:56	1403a88974439adb3875a46d75411cea:EvXfswPu6IyGZzwSFX3NcJ4T0x7nsrZ8	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:25:37	3b42f56a65446c96f602070990369532:Vye9deXjK3hyCMZOK3UVgbLOf3GnyNHZ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:26:21	c263fce9a7969ed20da6582184dd2ae8:ft8K6xeXPY1UgeE3xnqDehxSlZ3chNKp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:29:44	c05acccfe4e8c71fc6b4a2ad8d672c06:78MC31Eshg9dpttd9fj3CIyYNbxrxvpl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:30:07	8d587d7e7592f8ca65895206e5533ac4:mnfWRpGbQ1eKHpmZaeDcRLWfw3mOBo0U	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:31:11	5d36e15f883e9e1a5b8e63482d93e7cc:8e9iQf65afthMReRG4qThi1i2G1JZdAA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:32:16	ae476733b1d5ba3c607ce99dd61e27e8:d1QI51JXcMHylHStaiJzUXWsEH1uD9GS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:32:29	0711540df0f44e6765fe7f143f41aac0:drZK31WnaJt9y8Y1K0IP35FDSiu5id38	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:33:17	d7cef2984f43dd584a22ebf4515710b6:85CFPBgFRrGIVcz8IMcwjRFiruQsk4QG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:34:59	aba0018ecf00c3d599f6b3f2e04f0697:rusPu4m6aGfYNMClXOc2zSsDvcPVIpk4	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	39.8.224.101
2018-04-24 19:36:20	61e25e73b02baaefd4586345c841051e:iHL6dJUC75gjDvjcGRup7ejRXUY4v9qa	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:36:51	c5549a72df6db5a8833695a84a240092:9uawW64b3xZ5PSBQZLcUqM8sVUke0F3i	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:36:52	b013ddede9bf62b53f1063f14380ed59:7UwAeHqAUYDWHJbHttblY8gh5vkwpaNW	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	110.50.151.240
2018-04-24 19:37:38	569c4742720aaf5e50b4a263435ffb53:Xz0QQCo1aMwBWeSahAJMQjQIO3CBVreR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:37:49	9bbd6ee39d1f16886c341c96b960125f:hCDLJnayDduh3ff7FG4qQaxanlmZWFDJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:38:41	3cf53cdbbddf908ef1ecc7356a54c143:ikLkGJN81y0aqHUpvquZG0RWmqfnMvYr	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	1.171.167.33
2018-04-24 19:38:43	aa3fdb9208c56411b5f77169b16e2060:zEUp7GNZMIIYnYJICxccjMwYkAUHLu8Z	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:39:05	b3c06b11cae966d1bd869192e97b96df:Hd4Y0KgnaCM2W78GIEEYT1KqeCOYNOa5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:39:38	f4e88103063524bc0729ef2667ad24ea:6Igr7gfVxB3Ldnu9gJqUvb0GTjfsBV0A	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:40:38	87f4806e4fa1591eab4bd15abd25d832:5MXNd7zXC6C5WhH4hOmWhcUvQHWZcpVB	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:40:45	2af1a7952f9a774a3ba6851496e6a85a:xBgqv4LtlgGkNhsXhEVJv8dxQlSdxPQW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:42:13	18d1287a0541d3a65c6b44ad7d473915:6MB6va3JNsfJUUqrGuhLkGNqtDH5O9pN	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	42.72.1.163
2018-04-24 19:42:13	cee7bd2797417db14f3a3acd27f47525:YrvHLBCp2VW7koXPjfIqS8LpEke1onpx	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:43:16	15e8d9c7a4d7195d7fdb8b8dab41f348:X5s7FcOX8gy2qV82hI0MIe7h5UWrQ2wU	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:43:59	e2124db762b5ab3258f6eaad6487e829:xs86NQR0A90xDpWiKmsJ6EhB8hDwr7Hb	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.115.185
2018-04-24 19:44:30	c5a2c31dab5f5a45672c8ec886b8b89c:vkAZUAHr6mOx1gzCy2nWzo3vlKxAxiN6	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:45:30	d98e0008f2a50eedd7f2c374290f2bf1:A7bl5rQtBUS7Uuh9qpnp7HBHsNYHsUmD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:46:52	18338c19be16317c54c1f86c6f934fea:Y7wVDWb4et88DcgaPXAp3diqYlamucnR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:47:26	22af92c3e2e2f1e386fe5fb5122a0983:VDSTjbCxgLsCtbOMf7XAhpcBXdMWF0Y7	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	180.217.102.236
2018-04-24 19:47:50	e99a35ad7c500de2b2cdd04917097165:b8boM8sceJwkjHjLxflhwOvn2WnQFAv5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:48:42	8d2e12a1e3f86eb5ef48c78ed52c8c28:wtDMLnfQ8iDHynPAxSnDT7MWYhUGLPPn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:49:44	f4bca8aca5afa2bdd6ef15e64b710e25:L6He5VIkMl9Lsw720cvPTWapRMNMLxaX	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-24 19:51:10	77f6cd51d4668ef7739d507c4e1baeb5:ByIFFbKV43j9b2uQyOJ30v7s8fsz5Tgb	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	42.72.212.127
2018-04-24 19:53:20	acfa504124d46eaac2ccdb90456347b2:5AgZyoFUc9tU0oGp4DHp6mXdb7O8EmDx	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.137.18.76
2018-04-24 19:53:34	c03895bb624b96940346df7e5e0221f2:walj0nRVufIgTcsG1UZZZIxCUqr8u1MZ	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	180.217.102.236
2018-04-24 19:57:24	65d1199110173a1f8d9a211f988b2601:PZDwmeWSz2x5NhqMGA4RhJcvZq3UyDhz	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.8.209.74
